Type,Date,Description,Address,Latitude,Longitude
Vandalism,06/22/2024 12:10 AM,Property Damage ,"200 BLOCK OF CO RD 5, Worthington, MN",43.3971588,-94.81718028378953
Theft,10/01/2024 11:20 AM,LARCENY FROM A M.V. - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"300 BLOCK OF EAST 2ND STREET, Maryville, MO",40.739141,-95.02719573469388
Other,09/30/2024 3:04 PM,MISSING PERSON - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF NORTH VINE, Maryville, MO",40.739141,-95.02719573469388
Other,09/29/2024 2:32 PM,DOMESTIC DISTURBANCE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1700 BLOCK OF EAST 1ST STREET, Maryville, MO",40.739141,-95.02719573469388
Vandalism,09/29/2024 12:50 PM,PROPERTY DAMAGE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"400 BLOCK OF NORTH MARKET, Maryville, MO",40.739141,-95.02719573469388
Arrest,09/29/2024 3:25 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF SOUTH LAURA, Maryville, MO",40.739141,-95.02719573469388
Other,09/27/2024 9:38 PM,DOMESTIC DISTURBANCE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"600 BLOCK OF EAST 7TH STREET, Maryville, MO",40.739141,-95.02719573469388
Arrest,09/25/2024 10:12 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1100 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Burglary,09/24/2024 4:22 PM,BURGLARY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"700 BLOCK OF EAST 7TH STREET, Maryville, MO",40.739141,-95.02719573469388
Other,09/24/2024 11:39 AM,TRESPASSING - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF EAST 12TH STREET, Maryville, MO",40.739141,-95.02719573469388
Theft,09/22/2024 8:21 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Theft,09/22/2024 3:18 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Arrest,09/21/2024 11:13 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"700 BLOCK OF NORTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Arrest,09/20/2024 10:08 PM,RESISTING ARREST - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"400 BLOCK OF NORTH VINE, Maryville, MO",40.739141,-95.02719573469388
Theft,09/20/2024 3:21 PM,LOST/STOLEN PROPERTY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"300 BLOCK OF NORTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Theft,09/18/2024 12:21 PM,LARCENY FROM A M.V - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"400 BLOCK OF WEST 4TH STREET, Maryville, MO",40.739141,-95.02719573469388
Other,09/15/2024 3:33 AM,DOMESTIC DISTURBANCE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"300 BLOCK OF WEST 1ST STREET, Maryville, MO",40.739141,-95.02719573469388
Other,09/14/2024 1:24 PM,DOMESTIC DISTURBANCE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF SOUTH BUCHANAN, Maryville, MO",40.739141,-95.02719573469388
Arrest,09/14/2024 1:39 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1100 BLOCK OF NORTH COLLEGE DRIVE, Maryville, MO",40.739141,-95.02719573469388
Theft,09/13/2024 6:13 PM,LARCENY FROM A M.V. - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"800 BLOCK OF WEST SOUTH AVENUE, Maryville, MO",40.739141,-95.02719573469388
Other,09/11/2024 1:22 PM,DOMESTIC DISTURBANCE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"300 BLOCK OF SOUTH VINE, Maryville, MO",40.739141,-95.02719573469388
Theft,09/09/2024 9:28 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF VOLUNTEER AVENUE, Maryville, MO",40.739141,-95.02719573469388
Assault,09/09/2024 11:15 AM,DOMESTIC ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"500 BLOCK OF WEST 3RD STREET, Maryville, MO",40.739141,-95.02719573469388
Theft,09/08/2024 6:34 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Theft,09/08/2024 6:34 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUT MAIN, Maryville, MO",40.739141,-95.02719573469388
Theft,09/07/2024 8:12 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Theft,09/07/2024 2:59 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Burglary,09/07/2024 2:29 PM,BURGLARY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Theft,09/04/2024 10:32 AM,FRAUD - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"500 BLOCK OF SOUTH BUCHANAN, Maryville, MO",40.739141,-95.02719573469388
Assault,09/01/2024 8:04 PM,DOMESTIC ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF WEST 12TH STREET, Maryville, MO",40.739141,-95.02719573469388
Theft,08/31/2024 6:02 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Assault,08/30/2024 11:01 PM,DOMESTIC ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1100 BLOCK OF EAST THOMPSON, Maryville, MO",40.739141,-95.02719573469388
Vandalism,08/29/2024 1:46 PM,PROPERTY DAMAGE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF NORTH RAY, Maryville, MO",40.739141,-95.02719573469388
Other,08/29/2024 11:26 AM,DOMESTIC DISTURBANCE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF EAST 3RD STREET, Maryville, MO",40.739141,-95.02719573469388
Theft,08/28/2024 12:35 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF NORTH VINE, Maryville, MO",40.739141,-95.02719573469388
Theft,08/27/2024 2:29 PM,LOST/STOLEN PROPERTY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"600 BLOCK OF EAST 14TH STREET, Maryville, MO",40.739141,-95.02719573469388
Theft,08/25/2024 8:40 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF NORTH BUCHANAN, Maryville, MO",40.739141,-95.02719573469388
Theft,08/25/2024 4:32 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF NORTH BUCHANAN, Maryville, MO",40.739141,-95.02719573469388
Arrest,08/25/2024 12:09 PM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF NORTH VINE, Maryville, MO",40.739141,-95.02719573469388
Assault,08/25/2024 8:39 AM,SEXUAL ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"500 BLOCK OF EAST JENKINS, Maryville, MO",40.739141,-95.02719573469388
Arrest,08/25/2024 3:06 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"500 BLOCK OF WEST 4TH STREET, Maryville, MO",40.739141,-95.02719573469388
Arrest,08/25/2024 12:38 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"400 BLOCK OF EAST 1ST STREET, Maryville, MO",40.739141,-95.02719573469388
Arrest,08/24/2024 1:56 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF WEST 4TH STREET, Maryville, MO",40.739141,-95.02719573469388
Theft,08/23/2024 3:17 PM,LOST/STOLEN LICENSE PLATE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF EAST 3RD STREET, Maryville, MO",40.739141,-95.02719573469388
Theft,08/18/2024 2:42 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Assault,08/18/2024 12:43 AM,ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"300 BLOCK OF EAST COOPER, Maryville, MO",40.739141,-95.02719573469388
Theft,08/14/2024 10:58 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388
Assault,08/12/2024 11:31 AM,HARASSMENT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1100 BLOCK OF NORTH COLLEGE AVENUE, Maryville, MO",40.739141,-95.02719573469388
Assault,08/05/2024 10:03 AM,DOMESTIC ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF VOLUNTEER AVENUE, Maryville, MO",40.739141,-95.02719573469388
Shooting,04/14/2024 12:00 AM,A Report Of A Shooting.,"11000 BLOCK OF EAST 11TH STREET, Atlantic, IA",41.4038492244898,-95.01173408163264
Other,10/04/2024 10:05 PM,ALL OTHER. Event #,"200 BLOCK OF COURT AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 9:44 PM,ALL OTHER. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 5:29 PM,Trespass of Real Property. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 4:25 PM,Trespass of Real Property. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 1:11 PM,ALL OTHER. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/04/2024 12:41 PM,Larceny All Other. Event #,"200 BLOCK OF E GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
Burglary,10/04/2024 9:39 AM,Burglary/Breaking & Entering. Event #,"2300 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 8:04 AM,Drunkeness. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/04/2024 7:34 AM,Larceny All Other. Event #,"700 BLOCK OF 24TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 7:08 AM,ALL OTHER. Event #,"1100 BLOCK OF 17TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 2:34 AM,ALL OTHER. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/03/2024 7:04 PM,Motor Vehicle Theft. Event #,"100 BLOCK OF SE 1ST ST, Des Moines, IA",41.58588195,-93.6330320492719
Robbery,10/03/2024 5:04 PM,Robbery. Event #,"900 BLOCK OF SCHOOL ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/03/2024 3:26 PM,ALL OTHER. Event #,"1400 BLOCK OF 10TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Assault,10/03/2024 3:06 PM,Simple Assault. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/03/2024 2:11 PM,ALL OTHER. Event #,"1000 BLOCK OF WALNUT ST, Des Moines, IA",41.58588195,-93.6330320492719
Vandalism,10/03/2024 2:02 PM,Destruction/Damage/Vandalism of Property. Event #,"1700 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/03/2024 12:27 PM,Larceny from Motor Vehicle. Event #,"200 BLOCK OF E GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
