Type,Date,Description,Address,Latitude,Longitude
Assault,10/05/2024 8:51 PM,Simple Assault. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/05/2024 5:52 PM,All Other Offenses (Except Traffic or Warrants). Event #,"400 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/05/2024 10:51 AM,Larceny All Other. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Vandalism,10/05/2024 9:30 AM,Destruction/Damage/Vandalism of Property. Event #,"1700 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/05/2024 3:51 AM,Disorderly Conduct. Event #,"200 BLOCK OF COURT AVE, Des Moines, IA",41.58588195,-93.6330320492719
Assault,10/05/2024 1:52 AM,Simple Assault. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 10:05 PM,ALL OTHER. Event #,"200 BLOCK OF COURT AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 9:44 PM,ALL OTHER. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 5:40 PM,Trespass of Real Property. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 5:29 PM,Trespass of Real Property. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 4:44 PM,All Other Offenses (Except Traffic or Warrants). Event #,"300 BLOCK OF SW 8TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 4:25 PM,Trespass of Real Property. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/04/2024 3:24 PM,Larceny All Other. Event #,"200 BLOCK OF COURT AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 2:47 PM,Drunkeness. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Vandalism,10/04/2024 2:02 PM,Destruction/Damage/Vandalism of Property. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 1:11 PM,ALL OTHER. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/04/2024 12:41 PM,Larceny All Other. Event #,"200 BLOCK OF E GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/04/2024 12:11 PM,Larceny from Building. Event #,"700 BLOCK OF 17TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Burglary,10/04/2024 9:39 AM,Burglary/Breaking & Entering. Event #,"2300 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
Vandalism,10/04/2024 9:02 AM,Destruction/Damage/Vandalism of Property. Event #,"200 BLOCK OF COURT AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 8:04 AM,Drunkeness. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/04/2024 7:34 AM,Larceny All Other. Event #,"700 BLOCK OF 24TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 7:08 AM,ALL OTHER. Event #,"1100 BLOCK OF 17TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/04/2024 2:34 AM,ALL OTHER. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/03/2024 7:04 PM,Motor Vehicle Theft. Event #,"100 BLOCK OF SE 1ST ST, Des Moines, IA",41.58588195,-93.6330320492719
Robbery,10/03/2024 5:04 PM,Robbery. Event #,"900 BLOCK OF SCHOOL ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/03/2024 3:26 PM,ALL OTHER. Event #,"1400 BLOCK OF 10TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Assault,10/03/2024 3:06 PM,Simple Assault. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/03/2024 2:11 PM,ALL OTHER. Event #,"1000 BLOCK OF WALNUT ST, Des Moines, IA",41.58588195,-93.6330320492719
Vandalism,10/03/2024 2:02 PM,Destruction/Damage/Vandalism of Property. Event #,"1700 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/03/2024 12:27 PM,Larceny from Motor Vehicle. Event #,"200 BLOCK OF E GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
Burglary,10/03/2024 11:48 AM,Burglary/Breaking & Entering. Event #,"200 BLOCK OF COURT AVE, Des Moines, IA",41.58588195,-93.6330320492719
Assault,10/03/2024 10:19 AM,Simple Assault. Event #,"900 BLOCK OF SCHOOL ST, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/03/2024 9:29 AM,Counterfeiting/Forgery. Event #,"1700 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
